序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
2377,2022-11-16,江西腾勒动力有限公司,,,"高新技术企业,省级""专精特新""中小企业,省级企业技术中心",,在营,古金培,18379332769,上饶经济技术开发区金控融资租赁有限公司,国企,郑文煜,0793-8825556,,CNY,"2,404.20",CNY,3年,2022-11-15,2025-11-14,变更登记,,电力设备,制造业,电气机械和器材制造业,江西-上饶-广信,江西-上饶-弋阳,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2378,2022-11-15,上海清河机械有限公司,北京山海新能集团,民企,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,张原瑞,021-69178693,甘肃公航旅融资租赁有限公司,国企,王佳谋,0931-7822006,,CNY,"2,631.34",CNY,3年,2022-11-15,2025-11-14,初始登记,"价值 26,313,430.72元压裂设备及其附属设施。",机械设备,制造业,专用设备制造业,上海-嘉定,甘肃-兰州-皋兰,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2379,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2380,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2381,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2382,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2383,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2384,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2385,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2386,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2387,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2388,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2389,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2390,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2391,2022-11-15,谛宝诚(上海)医学影像科技有限公司,信阳市建设投资总公司,国企,"高新技术企业,省级创新型中小企业",,在营,唐政,021-54283175,山水融资租赁股份有限公司,民企,季顶天,,,CNY,"1,045.00",CNY,3年,2022-11-15,2025-11-14,初始登记,宠物影像设备一批,社会服务,科学研究和技术服务业,专业技术服务业,上海-闵行,浙江-丽水-莲都,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2392,2022-11-15,绿康生化股份有限公司,绿康生化,"民企,上市","高新技术企业,省级""专精特新""中小企业,省级创新型中小企业,省级企业技术中心,省级科技小巨人企业",,在营,赖潭平,0599-2827495,厦门国贸创程融资租赁有限公司,"国企,发债",万金锋,13860135679,,CNY,"1,798.00",CNY,3年,2022-11-15,2025-11-14,初始登记,116台生产设备，发票号详见列表。,医药生物,制造业,医药制造业,福建-南平-浦城,福建-厦门-湖里,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2393,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2394,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2395,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2396,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2397,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2398,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2399,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2400,2022-11-15,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-15,2025-12-14,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2401,2022-11-14,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-14,2025-12-13,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2402,2022-11-14,武昌首义学院,,,,,在营,金国华,,广西融资租赁有限公司,"国企,发债",王宗平,0771-5873823,,CNY,"4,850.87",CNY,3.08年,2022-11-14,2025-12-13,初始登记,详见桂租【2022】年租字第【142】号《租赁合同》附件1：租赁物清单,,,,湖北-武汉-洪山,广西-南宁-江南,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2403,2022-11-14,开原市中医医院,,,,,在营,王野,,海尔融资租赁股份有限公司,"民企,发债",张磊,021-80256000,,CNY,"1,323.49",CNY,3.08年,2022-11-14,2025-12-13,初始登记,,,,,辽宁-铁岭-开原,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2404,2022-11-14,广州寿司郎餐饮有限公司,,,,,在营,松田一成（MATSUDA KAZUNARI）,18879138907,三井住友融资租赁(中国)有限公司,,金谷喜博(KANAYA YOSHIHIRO),020-87550021,,,"1,320.78",CNY,3年,2022-11-14,2025-11-13,初始登记,租赁物名称：既存店舗設備リースバック租赁物型号：详见附件租赁物数量：136台,社会服务,住宿和餐饮业,餐饮业,广东-广州-天河,广东-广州-天河,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2405,2022-11-12,广州联油能源有限公司,,,,,在营,崔化维,82508666,知识城(广州)融资租赁有限公司,"国企,发债",张莹莹,020-31801296,,CNY,"1,240.97",CNY,3.08年,2022-11-12,2025-12-11,初始登记,设备一批。,综合,科学研究和技术服务业,研究和试验发展,广东-广州-黄埔,广东-广州-黄埔,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2406,2022-11-11,上海兴余基础工程有限公司,,民企,,,在营,张敏强,021-80197252,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,CNY,"1,983.08",CNY,3年,2022-11-11,2025-11-10,初始登记,"液压连续墙抓斗、、SG70、1、R12500;,液压连续墙抓斗、、SG70、1、Q10433;,液压连续墙抓斗、、SG50A、1、S11591;,液压连续墙抓斗、、SG50A、1、T04615;,全液压步履式打桩架、、JB180、1、37;,全套管全回转钻机、、DTR-2106H、1、DA210HZ111D;",建筑装饰,建筑业,建筑装饰、装修和其他建筑业,上海-崇明,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2407,2022-11-11,十堰坤钰渝明汽车零部件有限公司,,民企,"高新技术企业,省级""专精特新""中小企业",,在营,罗文伟,0719-8363805,海尔融资租赁股份有限公司,"民企,发债",张磊,021-80256000,,CNY,"2,415.01",CNY,3.08年,2022-11-11,2025-12-10,初始登记,,汽车,制造业,汽车制造业,湖北-十堰-茅箭,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2408,2022-11-11,安康北医大制药股份有限公司,,民企,"高新技术企业,省级""专精特新""中小企业,省级技术创新示范企业,省级企业技术中心,省级隐形冠军培育企业",,在营,徐鹏,0915-3216817,陕西安康高新融资租赁有限公司,国企,赵金山,0915-3362556,,CNY,"1,459.05",CNY,4年,2021-10-22,2025-10-21,变更登记,位于陕西省安康市高新技术产业开发区创业东路6号院内享有完全产权的设备。总件数55件，原购买价值14590515.00元,医药生物,制造业,医药制造业,陕西-安康-汉滨,陕西-安康-汉滨,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2409,2022-11-10,深圳市金錌大厦投资有限公司,,民企,,,在营,,,珠江金融租赁有限公司,"国企,发债",黄镇辉,29168105,,CNY,"3,560.00",CNY,3年,2022-11-10,2025-11-09,初始登记,深圳市金錌大厦投资有限公司作为承租人与珠江金融租赁有限公司合作直租业务，租赁资产为拟采购的200套二层升降横移式机械停车设备资产，期限3年，已签订编号为【ZJZZ20221024001-RZ001】的《融资租赁合同》。,综合,租赁和商务服务业,商务服务业,广东-深圳-罗湖,广东-广州-南沙,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2410,2022-11-10,淄博正大新材料科技有限公司,,民企,省级创新型中小企业,,在营,见方田,13287013306,齐信融资租赁(淄博)有限公司,国企,刘璇,0533-7671668,,,"1,605.00",CNY,3年,2022-11-10,2025-11-09,初始登记,淄博正大新材料科技有限公司机器设备，包含高压釜，两级压缩螺杆式空气压缩机,综合,科学研究和技术服务业,科技推广和应用服务业,山东-淄博-桓台,山东-淄博-张店,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2411,2022-11-09,南通金陵农化有限公司,,民企,"高新技术企业,省级""专精特新""中小企业",,在营,,,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,CNY,"1,586.93",CNY,4.25年,2021-04-25,2025-07-24,展期登记,设置场所：江苏省如东县沿海经济开发区化学工业园黄海二路(南通金陵农化有限公司),基础化工,制造业,化学原料和化学制品制造业,江苏-南通-如东,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2412,2022-11-09,郯城县大羽养殖农民专业合作社,,民企,,,在营,乔雨,17662925879,海尔融资租赁股份有限公司,"民企,发债",张磊,021-80256000,,CNY,"1,114.96",CNY,3.08年,2022-11-09,2025-12-08,初始登记,,农林牧渔,农、林、牧、渔业,畜牧业,山东-临沂-郯城,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2413,2022-11-09,"四川简州空港农业投资发展集团有限公司,四川简州空港农业科技投资有限公司",,,,,,,,成都锦融融资租赁有限责任公司,"国企,发债",王锐,028-81253063,,CNY,"2,023.53",CNY,3.08年,2022-10-31,2025-11-29,变更登记,租赁财产系位于四川省成都市简阳市平泉街道太阳村的平泉大耳羊一级扩繁场建(构)筑物及机器设备。,-,-,-,-,四川-成都-双流,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2414,2022-11-09,青海华恒新能源有限公司,浙江省能源集团有限公司,国企,,,在营,许樑,8237621,上海璞能融资租赁有限公司,"国企,发债",任志祥,(021)58952656,,CNY,"3,295.00",CNY,3年,2022-11-09,2025-11-08,初始登记,50MW光伏电站：多晶硅光伏组件及箱式升压变,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,青海-海西州-格尔木,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2415,2022-11-09,"广东蒸烩煮食品科技有限公司,广州郝菜肴食品有限公司",,,,,,,,知识城(广州)融资租赁有限公司,"国企,发债",张莹莹,020-31801296,,CNY,"1,136.90",CNY,3.08年,2022-11-09,2025-12-08,初始登记,生产设备一批。,-,-,-,-,广东-广州-黄埔,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2416,2022-11-09,马鞍山濮塘文化旅游投资发展有限公司,安徽山湖控股集团有限公司,国企,,,在营,吴垚,0555-2200721,东盛(上海)融资租赁有限公司,"国企,发债",张立哲,0561-3053030,,CNY,"1,516.62",CNY,3年,2022-11-09,2025-11-08,初始登记,景区停车场闸机系统等,非银金融,金融业,资本市场服务,安徽-马鞍山-花山,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2417,2022-11-09,广州爱康国宾林和门诊部有限公司,爱康集团,民企,,,在营,,,中关村科技租赁股份有限公司,"国企,上市,发债",张健,010-83453801,,CNY,"1,274.41",CNY,3.08年,2022-11-09,2025-12-08,初始登记,本次融资租赁登记的租赁物包括融资租赁合同项下的(定制-中央空调)等设备432台，共计12744087.00元。,美容护理,卫生和社会工作,卫生,广东-广州-天河,北京-朝阳,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2418,2022-11-09,"黑龙江工商学院,黑龙江联康商务信息咨询有限公司",,,,,,,,安徽德润融资租赁股份有限公司,发债,杨斌,0551-65860210,,CNY,"1,500.00",CNY,3年,2022-10-25,2025-10-24,变更登记,,-,-,-,-,安徽-合肥-蜀山,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2419,2022-11-08,北京易点淘网络技术有限公司,,,高新技术企业,,在营,纪鹏程,010-82866775,江苏裕融融资租赁有限公司,发债,刘福雄,0512-80983566,,CNY,"1,138.72",CNY,3年,2022-11-08,2025-11-07,初始登记,"产品名称--型号--机号--制造商【如标的物明细表--如标的物明细表--无机号0--如标的物明细表】租赁期间:【3年(36期,租赁期间:2022-12-08至2025-11-08)】租赁物设置场所:【北京市昌平区流村镇南雁路东升联创4号楼 (3-5层)】",综合,科学研究和技术服务业,科技推广和应用服务业,北京-石景山,江苏-苏州-吴中,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2420,2022-11-08,成都空港公共交通有限公司,成都空港城市发展集团有限公司,"国企,城投子公司",,,在营,寇含丁,028-85722020,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,CNY,"4,427.21",CNY,3年,2022-11-08,2025-11-07,初始登记,设备一批。,交通运输,交通运输、仓储和邮政业,道路运输业,四川-成都-双流,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2421,2022-11-08,成都空港公共交通有限公司,成都空港城市发展集团有限公司,"国企,城投子公司",,,在营,寇含丁,028-85722020,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,CNY,"4,427.21",CNY,3年,2022-11-08,2025-11-07,初始登记,设备一批。,交通运输,交通运输、仓储和邮政业,道路运输业,四川-成都-双流,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2422,2022-11-08,辽宁依生生物制药有限公司,,,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,张磊,2489657768,中关村科技租赁股份有限公司,"国企,上市,发债",张健,010-83453801,,CNY,"4,612.30",CNY,3.08年,2022-11-08,2025-12-07,初始登记,本次融资租赁登记的租赁物包括融资租赁合同项下的(注射用水系统)等设备343台(套)，共计46123043.58元。,医药生物,制造业,医药制造业,辽宁-沈阳-沈北,北京-朝阳,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2423,2022-11-08,平顶山市佳洋路桥工程有限公司,,国企,,,在营,,,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,CNY,"1,341.80",CNY,3年,2022-11-08,2025-11-07,初始登记,"沥青混合料搅拌设备、、CL-4000G、1、14PDS140509LQ40G;,双钢轮压路机、、CC6200、1、;,铣刨机、、SM2000C、1、;,环保型强拌、、XZ3000、1、20170828;",建筑装饰,建筑业,土木工程建筑业,河南-平顶山-卫东,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2424,2022-11-08,西安交通工程学院,,,,,在营,张晋生,,海尔融资租赁股份有限公司,"民企,发债",张磊,021-80256000,,CNY,"2,300.51",CNY,3.08年,2022-11-04,2025-12-03,变更登记,,,,,陕西-西安-鄠邑,上海-浦东,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2425,2022-11-07,新疆华油油气工程有限公司,,,"高新技术企业,省级""专精特新""中小企业,省级创新型中小企业,省级企业技术中心",,在营,路尧,0996-5895723,中关村科技租赁股份有限公司,"国企,上市,发债",张健,010-83453801,,CNY,"2,428.01",CNY,3.08年,2022-11-07,2025-12-06,初始登记,本次融资租赁登记的租赁物包括融资租赁合同项下的(石油专用配套设备)等设备141台(套)，共计24280068.34元。,社会服务,科学研究和技术服务业,专业技术服务业,新疆-巴州-轮台,北京-朝阳,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2426,2022-11-07,杭州牙科医院集团有限公司,,民企,,,在营,杨占友,87041***,海通恒信国际融资租赁股份有限公司,"国企,上市,发债",赵建祥,021-61355388,,CNY,"1,629.16",CNY,3年,2022-11-07,2025-11-06,初始登记,"口腔颌面锥形束计算机体层摄影设备、、KaVo OP 3D vision、1、/;,口腔颌面锥形束计算机体层摄影设备、、SS-X10010DPLUS、1、/;,数字化口内扫描仪、、iTero Element 2、1、/;,笑气吸入镇静系统、、S8800 B、1、/;,LED手术无影灯、、HyLED 760、2、/;,麻醉机、、WATO EX-55、1、/;,病人监护仪、、BeneVision M12、1、/;,脉动真空灭菌器、、MAST-A、2、/;,种植机、、SI-923、1、/;,INTEGO牙椅、、Intego/西诺德、7、/;,牙科电动无油空压机、、HW-1200、2、/;,牙科电动抽吸系统、、HVS-20、2、/;,全自动凝血测试仪、、SF-8050、1、/;,牙周治疗仪、、PT-A、1、/;,全自动清洗消毒器、、Rapid-M-320、2、/;,医用干燥柜、、YGZ-1600S(360L)、1、/;,超声骨刀、、DS-II LED、1、/;,可视喉镜、、TDC-K3、1、/;,病人监护仪、、uMEC6、1、/;,纯水机、、BKKJ-RO 500L、1、/;,牙科电动无油空压机、、HW-400、3、/;,热牙胶充填机、、CL-A1、WL-B1、1、/;,超声喷砂牙周治疗仪、、PT-A、1、/;,超短波电疗机、、GSWD-10、1、/;,自动切割一体机、、QG-100、1、/;,双行打印封口机、、FK-206、1、/;,牙科综合治疗机 、、S2316、37、/;,牙齿冷光漂白仪、、Philips Zoom、1、/;,除颤监护仪、、BeneHeart D2、1、/;,医用吊塔、、HyPort B30、2、/;,超声洁牙机、、iclean-pro、1、/;,颌架、、06-231380、1、36413860;,牙科综合治疗机、、S2321、10、/;,高温灭菌锅、、LX-B50L、1、/;,牙科综合治疗机、、S2301、6、/;,五分类全自动血液分析仪、、B410、1、/;,注油机、、QUATTROcare LIFE、2、/;,调颌片、、06-231310、1、36413860;,相机、、单反相机+镜头+UV镜头、2、/;,蒸汽灭菌器、、MOST-T-K45、2、/;,电脑、、T3650/戴尔、1、/;,雷鸟电视、、98寸、1、/;,注射泵、、SP3D、1、/;,电脑、、Mac book Air、1、/;,设计师电脑、、CPU i7-11700K、1、/;,半自动除颤仪AED、、BeneHeart S2、3、/;,苹果手机、、13 Pro石墨色(256GB)、1、/;,电脑、、戴尔T3650台式机、27、/;,超声波清洗机、、TQX-300BH、2、/;,电脑、、戴尔T3650、4、/;,法国赛特力高频电刀、、servotome、1、/;,苹果平板电脑、、ipad pro 256G、1、/;,单反相机、、EOS850D(18-55mm)、1、/;,小天鹅热泵干衣机、、TH 100-H36W T、2、/;,空调、、KFR-72LW/BDN8Y-PA401(3)A/美的、1、/;,明基投影仪、、MH560、1、/;,空调、、KFR-72GW/G1-3 3P/美的、5、/;",美容护理,卫生和社会工作,卫生,浙江-杭州-滨江,上海-黄浦,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2427,2022-11-07,上海琼乐电子科技有限公司,,民企,,,在营,许海勇,15901672189,上海闵商联融资租赁有限公司,,,,,,"3,600.50",CNY,3年,2022-11-07,2025-11-06,初始登记,电火花成型机等设备,社会服务,科学研究和技术服务业,专业技术服务业,上海-闵行,上海-闵行,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2428,2022-11-07,上海文弦机电设备制造有限公司,,民企,,,在营,闵磊,15000530503,上海闵商联融资租赁有限公司,,,,,,"3,781.28",CNY,3年,2022-11-07,2025-11-06,初始登记,板料液压折弯机等,机械设备,制造业,通用设备制造业,上海-闵行,上海-闵行,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2429,2022-11-07,上海琼乐电子科技有限公司,,民企,,,在营,许海勇,15901672189,上海闵商联融资租赁有限公司,,,,,,"3,551.50",CNY,3年,2022-11-07,2025-11-06,初始登记,电火花成型机等,社会服务,科学研究和技术服务业,专业技术服务业,上海-闵行,上海-闵行,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2430,2022-11-07,上海国玉实业有限公司,,民企,,,在营,丁忠义,021-54793541,上海闵商联融资租赁有限公司,,,,,,"3,193.70",CNY,3年,2022-11-07,2025-11-06,初始登记,全热交换新风一体机等,商贸零售,批发和零售业,批发业,上海-闵行,上海-闵行,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2431,2022-11-07,上海文弦机电设备制造有限公司,,民企,,,在营,闵磊,15000530503,上海闵商联融资租赁有限公司,,,,,,"3,072.52",CNY,3年,2022-11-07,2025-11-06,初始登记,板材液压折弯机等,机械设备,制造业,通用设备制造业,上海-闵行,上海-闵行,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2432,2022-11-04,江苏徐工广联机械租赁有限公司,徐工集团工程机械股份有限公司,国企,,,在营,孟文,0516-83466126,国银金融租赁股份有限公司,"国企,上市,发债",马红,23980999,,CNY,"2,122.36",CNY,3年,2022-10-08,2025-10-07,变更登记,租赁财产为徐工集团工程机械股份有限公司工程机械设备厂商租赁项目业务项下租赁工程机械设备。,非银金融,租赁和商务服务业,租赁业,江苏-徐州-云龙,广东-深圳-福田,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2433,2022-11-04,贵州恒达鑫机械有限公司,,民企,,"限高消费,终本案件",在营,刘兆和,0851-82511957,国银金融租赁股份有限公司,"国企,上市,发债",马红,23980999,,CNY,"1,495.97",CNY,3年,2022-11-04,2025-11-03,初始登记,租赁财产为徐工集团工程机械股份有限公司工程机械设备厂商租赁项目业务项下租赁工程机械设备。,商贸零售,批发和零售业,批发业,贵州-贵阳-清镇,广东-深圳-福田,租赁融资事件-租赁资产价值1000-5000_7-12月到期
2434,2022-11-04,驻马店市第一人民医院,,,,,在营,,,国健融资租赁(天津)有限公司,国企,王国梁,010-68267777,,CNY,"3,000.00",CNY,3年,2022-11-04,2025-11-03,初始登记,医疗设备一批,,,,河南-驻马店-驿城,天津-滨海,租赁融资事件-租赁资产价值1000-5000_7-12月到期
